iter	Passed	Remaining
400	25042	6182
401	25105	6120
402	25176	6059
403	25248	5999
404	25328	5941
405	25401	5881
406	25473	5820
407	25536	5758
408	25590	5693
409	25654	5631
410	25722	5570
411	25790	5508
412	25864	5448
413	25932	5386
414	25988	5322
415	26055	5261
416	26134	5201
417	26217	5143
418	26289	5082
419	26352	5019
420	26415	4956
421	26486	4895
422	26558	4834
423	26614	4770
424	26681	4708
425	26744	4645
426	26803	4582
427	26892	4523
428	26965	4462
429	27029	4400
430	27110	4340
431	27179	4278
432	27240	4214
433	27305	4152
434	27366	4089
435	27424	4025
436	27483	3962
437	27554	3900
438	27613	3837
439	27675	3773
440	27745	3711
441	27819	3650
442	27883	3587
443	27942	3524
444	27998	3460
445	28053	3396
446	28120	3334
447	28183	3271
448	28238	3207
449	28299	3144
450	28362	3081
451	28420	3018
452	28505	2957
453	28582	2895
454	28656	2834
455	28729	2772
456	28791	2709
457	28847	2645
458	28908	2582
459	28980	2520
460	29038	2456
461	29098	2393
462	29160	2330
463	29221	2267
464	29283	2204
465	29345	2141
466	29402	2077
467	29462	2014
468	29527	1951
469	29620	1890
470	29690	1828
471	29759	1765
472	29822	1702
473	29879	1638
474	29925	1575
475	29989	1512
476	30041	1448
477	30101	1385
478	30184	1323
479	30271	1261
480	30351	1198
481	30414	1135
482	30470	1072
483	30525	1009
484	30584	945
485	30650	882
486	30704	819
487	30759	756
488	30817	693
489	30881	630
490	30938	567
491	30992	503
492	31041	440
493	31100	377
494	31157	314
495	31227	251
496	31284	188
497	31360	125
498	31434	62
499	31531	0
