iter	Passed	Remaining
405	140044	32424
406	140414	32084
407	140718	31730
408	141046	31382
409	141424	31044
410	141754	30696
411	142069	30344
412	142380	29992
413	142886	29681
414	143202	29330
415	143574	28991
416	143954	28652
417	144271	28302
418	144595	27952
419	144990	27617
420	145285	27262
421	145659	26922
422	146074	26590
423	146486	26256
424	146800	25906
425	147223	25574
426	147545	25224
427	147918	24883
428	148329	24548
429	148639	24197
430	148958	23847
431	149366	23511
432	149716	23166
433	150019	22813
434	150433	22478
435	150754	22129
436	151129	21787
437	151556	21453
438	151891	21105
439	152259	20762
440	152717	20431
441	153322	20119
442	153888	19800
443	154359	19468
444	155032	19161
445	155486	18825
446	155949	18490
447	156301	18142
448	156652	17793
449	157156	17461
450	157482	17110
451	157829	16760
452	158212	16415
453	158617	16071
454	159025	15727
455	159344	15375
456	159680	15024
457	160020	14674
458	160413	14328
459	160738	13977
460	161049	13624
461	161566	13289
462	161885	12936
463	162223	12586
464	163042	12272
465	163400	11921
466	163787	11573
467	164130	11222
468	164474	10871
469	164941	10528
470	165422	10185
471	165838	9837
472	166224	9488
473	166626	9139
474	166933	8785
475	167273	8433
476	167672	8084
477	167993	7731
478	168478	7386
479	169133	7047
480	169536	6696
481	169970	6347
482	170299	5993
483	170678	5642
484	171097	5291
485	171410	4937
486	171943	4589
487	172351	4238
488	172827	3887
489	173303	3536
490	173748	3184
491	174121	2831
492	174629	2479
493	175315	2129
494	175974	1777
495	176299	1421
496	176779	1067
497	177112	711
498	177438	355
499	177764	0
